op name, kernel name, queue duration (ms), submit duration (ms), exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,3.287000,0.255000,0.008300,2048x1x1,1024x1x1,2048x2x1x1
q-0,kernel_transpose_32_16,1.369000,0.263900,0.005500,512x2x0,1x16x0,3072x2x1x1
q-0,kernel_gemm_noshuffle_q4_0_f32,0.087000,0.270000,0.334300,1x768x1,1x128x1,3072x2x1x1
q_pe-0,kernel_rope_norm_f32,0.069000,0.604800,0.003300,1024x2x1,64x1x1,64x16x2x1
Qcur-0,kernel_concat_f32,0.056000,0.608600,0.003400,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-0,kernel_transpose_32_16,0.042000,0.612500,0.004800,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-0,kernel_gemm_noshuffle_q4_0_f32,0.037000,0.617900,0.317300,1x144x1,1x128x1,576x2x1x1
kv_cmpr-0,kernel_rms_norm_mul,0.022000,0.935700,0.003700,1024x1x1,512x1x1,512x2x1x1
kv-0,kernel_transpose_32_16,1794.360962,0.412300,0.005000,128x2x0,1x16x0,4096x2x1x1
kv-0,kernel_gemm_noshuffle_q4_0_f32,1794.336060,0.417900,0.087000,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-0,kernel_cpy_f32_f32,1794.322998,0.505400,0.003800,1024x2x1,64x1x1,128x16x2x1
k_pe-0,kernel_rope_norm_f32,1794.308960,0.509700,0.003400,64x2x1,64x1x1,64x1x2x1
node_18,kernel_repeat_f32,1794.300049,0.513700,0.002700,1024x2x1,64x1x1,64x16x2x1
Kcur-0,kernel_concat_f32,1794.289062,0.516900,0.003400,1024x2x1,64x1x1,192x16x2x1
cache_k_l0 (view),kernel_set_rows_f16_i64,1794.276978,0.520800,0.004200,2048x1x1,1024x1x1,3072x4096x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,1794.266968,0.525500,0.003500,2048x1x1,1024x1x1,2048x4096x1x1
node_30,flash_attn_blk_f16,6.228400,0.514900,0.005500,16x1x1,0x0x0,128x16x2x1
node_30,flash_attn_f32_f16,6.172400,0.521000,0.112300,16x16x0,16x1x0,128x16x2x1
node_32,kernel_transpose_32_16,6.148400,0.633800,0.004800,512x2x0,1x16x0,2048x2x1x1
node_32,kernel_gemm_noshuffle_q4_0_f32,6.138400,0.639200,0.343200,1x512x1,1x128x1,2048x2x1x1
ffn_inp-0,kernel_add,6.116400,0.983000,0.013400,128x1x1,64x1x1,2048x2x1x1
ffn_norm-0,kernel_rms_norm_mul,6.103400,0.996900,0.005400,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-0,kernel_transpose_32_16,6.095400,1.002900,0.004800,512x2x0,1x16x0,10944x2x1x1
ffn_gate-0,kernel_gemm_noshuffle_q4_0_f32,6.088400,1.008200,0.353500,1x2736x1,1x128x1,10944x2x1x1
ffn_up-0,kernel_transpose_32_16,6.088400,1.354600,0.005400,512x2x0,1x16x0,10944x2x1x1
ffn_up-0,kernel_gemm_noshuffle_q4_0_f32,6.079400,1.360500,0.348500,1x2736x1,1x128x1,10944x2x1x1
ffn_swiglu-0,kernel_swiglu,6.069400,1.709500,0.010500,1024x1x1,512x1x1,10944x2x1x1
ffn_out-0,kernel_transpose_32_16,6.060400,1.720500,0.016300,2736x2x0,1x16x0,2048x2x1x1
ffn_out-0,kernel_gemm_noshuffle_q4_0_f32,6.053400,1.737300,1.795300,1x512x1,1x128x1,2048x2x1x1
l_out-0,kernel_add,6.040400,3.533100,0.013800,128x1x1,64x1x1,2048x2x1x1
attn_norm-1,kernel_rms_norm_mul,6.030400,3.547500,0.005500,2048x1x1,1024x1x1,2048x2x1x1
q-1,kernel_transpose_32_16,6.023400,3.553500,0.005400,512x2x0,1x16x0,3072x2x1x1
q-1,kernel_gemm_noshuffle_q4_0_f32,6.030400,3.550300,0.334300,1x768x1,1x128x1,3072x2x1x1
q_pe-1,kernel_rope_norm_f32,6.010400,3.885200,0.003200,1024x2x1,64x1x1,64x16x2x1
Qcur-1,kernel_concat_f32,5.998400,3.889000,0.003200,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-1,kernel_transpose_32_16,5.988400,3.892800,0.005000,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-1,kernel_gemm_noshuffle_q4_0_f32,5.983400,3.898400,0.321400,1x144x1,1x128x1,576x2x1x1
kv_cmpr-1,kernel_rms_norm_mul,5.969400,4.220400,0.004000,1024x1x1,512x1x1,512x2x1x1
kv-1,kernel_transpose_32_16,5.960400,4.225000,0.002800,128x2x0,1x16x0,4096x2x1x1
kv-1,kernel_gemm_noshuffle_q4_0_f32,5.955400,4.228300,0.087000,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-1,kernel_cpy_f32_f32,5.952600,4.309100,0.002800,1024x2x1,64x1x1,128x16x2x1
k_pe-1,kernel_rope_norm_f32,5.933600,4.312500,0.002500,64x2x1,64x1x1,64x1x2x1
node_58,kernel_repeat_f32,5.924600,4.315500,0.002500,1024x2x1,64x1x1,64x16x2x1
Kcur-1,kernel_concat_f32,5.912600,4.318500,0.002800,1024x2x1,64x1x1,192x16x2x1
cache_k_l1 (view),kernel_set_rows_f16_i64,5.899600,4.321800,0.004300,2048x1x1,1024x1x1,3072x4096x1x1
cache_v_l1 (view),kernel_set_rows_f16_i64,5.889600,4.326700,0.003300,2048x1x1,1024x1x1,2048x4096x1x1
node_70,flash_attn_blk_f16,5.871600,4.330600,0.005000,16x1x1,0x0x0,128x16x2x1
node_70,flash_attn_f32_f16,5.853600,4.336100,0.111400,16x16x0,16x1x0,128x16x2x1
node_72,kernel_transpose_32_16,5.852000,4.441700,0.005200,512x2x0,1x16x0,2048x2x1x1
node_72,kernel_gemm_noshuffle_q4_0_f32,5.843000,4.447500,0.326900,1x512x1,1x128x1,2048x2x1x1
ffn_inp-1,kernel_add,5.828000,4.775000,0.013500,128x1x1,64x1x1,2048x2x1x1
ffn_norm-1,kernel_rms_norm_mul,5.817000,4.789100,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_moe_logits-1,kernel_mul_mm_f32_f32_l4_lm,5.807000,4.795100,0.470800,128x1x1,128x1x1,64x2x1x1
ffn_moe_probs-1,kernel_soft_max_4,5.795000,5.266500,0.004100,128x1x1,64x1x1,64x2x1x1
ffn_moe_argsort-1,kernel_argsort_f32_i32,5.785000,5.271100,0.012000,64x2x1,64x1x1,64x2x1x1
ffn_moe_weights-1,kernel_get_rows_f32,5.775000,5.283700,0.003000,6x2x1,1x1x1,1x6x2x1
ffn_moe_topk-1,kernel_moe_histogram,5.738000,5.277900,0.003100,64x6x1,64x1x1,6x2x1x1
ffn_moe_topk-1,kernel_moe_scan,0.047200,0.040500,0.013600,1x0x0,1x0x0,6x2x1x1
ffn_moe_topk-1,kernel_moe_fill,0.028200,0.054700,0.002100,64x32x1,64x1x1,6x2x1x1
ffn_moe_topk-1,kernel_moe_scatter,0.019200,0.057300,0.002500,64x6x1,64x1x1,6x2x1x1
ffn_moe_gate-1,kernel_moe_reorder_b,0.132000,0.039300,0.071900,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_gate-1,kernel_gemm_moe_q4_0_f32_ns,0.114000,0.111700,0.807500,64x22x64,64x1x1,1408x6x2x1
ffn_moe_up-1,kernel_moe_reorder_b,0.099000,0.919700,0.070100,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_up-1,kernel_gemm_moe_q4_0_f32_ns,0.088000,0.990400,0.808700,64x22x64,64x1x1,1408x6x2x1
ffn_moe_swiglu-1,kernel_swiglu,0.078000,1.799600,0.003800,6144x1x1,512x1x1,1408x6x2x1
ffn_moe_down-1,kernel_moe_reorder_b,0.060000,1.804000,0.047500,512x2048x1,256x1x1,2048x6x2x1
ffn_moe_down-1,kernel_gemm_moe_q4_0_f32_ns,0.049000,1.852000,0.721400,64x32x64,64x1x1,2048x6x2x1
ffn_moe_out-1,kernel_moe_combine_f32,0.139800,2.456700,0.004700,512x2x0,64x1x0,2048x2x1x1
ffn_gate-1,kernel_transpose_32_16,0.112800,2.461900,0.005000,512x2x0,1x16x0,2816x2x1x1
ffn_gate-1,kernel_gemm_noshuffle_q4_0_f32,0.105800,2.467500,0.328600,1x704x1,1x128x1,2816x2x1x1
ffn_up-1,kernel_transpose_32_16,0.094800,2.796700,0.004800,512x2x0,1x16x0,2816x2x1x1
ffn_up-1,kernel_gemm_noshuffle_q4_0_f32,0.065800,2.802000,0.327200,1x704x1,1x128x1,2816x2x1x1
ffn_swiglu-1,kernel_swiglu,0.050800,3.129700,0.004400,1024x1x1,512x1x1,2816x2x1x1
ffn_shexp-1,kernel_transpose_32_16,0.034800,3.134600,0.006100,704x2x0,1x16x0,2048x2x1x1
ffn_shexp-1,kernel_gemm_noshuffle_q4_0_f32,0.027800,3.141200,0.465900,1x512x1,1x128x1,2048x2x1x1
ffn_out-1,kernel_add,0.167800,3.456900,0.011400,128x1x1,64x1x1,2048x2x1x1
l_out-1,kernel_add,0.133800,3.468900,0.013100,128x1x1,64x1x1,2048x2x1x1
attn_norm-2,kernel_rms_norm_mul,0.106800,3.482600,0.005400,2048x1x1,1024x1x1,2048x2x1x1
q-2,kernel_transpose_32_16,0.096800,3.488500,0.004800,512x2x0,1x16x0,3072x2x1x1
q-2,kernel_gemm_noshuffle_q4_0_f32,0.085800,3.493900,0.336600,1x768x1,1x128x1,3072x2x1x1
q_pe-2,kernel_rope_norm_f32,0.070800,3.831000,0.003200,1024x2x1,64x1x1,64x16x2x1
Qcur-2,kernel_concat_f32,0.059800,3.834700,0.003000,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-2,kernel_transpose_32_16,0.038800,3.838200,0.004900,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-2,kernel_gemm_noshuffle_q4_0_f32,0.115400,3.747600,0.322900,1x144x1,1x128x1,576x2x1x1
